Time;Robot;Node;Idleness;Interferences
914.2;6;118;73.2;83
916.6;0;146;101.7;83
917.0;2;78;312.4;83
918.4;5;148;20.2;83
918.5;4;3;152.2;83
918.6;6;107;81.7;83
921.9;7;64;394.6;84
922.2;6;106;89.2;84
925.7;0;147;34.1;86
926.4;2;101;39.3;87
927.3;4;1;233.4;87
927.8;7;63;35.8;87
928.6;6;90;376.4;87
930.1;5;147;4.4;88
930.6;2;102;48.1;88
933.1;7;65;405.8;89
934.4;6;89;403.2;89
934.6;0;125;52.0;89
937.4;2;123;482.1;89
938.1;7;69;433.7;90
941.5;0;126;64.5;91
941.7;6;90;13.1;91
942.0;2;124;672.4;91
945.4;4;0;233.2;92
945.5;7;68;448.4;92
945.5;0;115;103.4;92
947.4;2;111;684.3;93
949.1;6;91;404.7;93
950.5;7;67;459.8;93
954.0;2;124;12.0;93
954.2;1;42;52.7;93
954.3;0;116;102.4;93
954.5;4;2;152.5;93
956.7;7;68;11.2;93
956.9;6;90;15.2;93
958.7;2;123;21.3;93
959.0;1;37;67.3;93
961.9;4;8;225.4;94
962.2;0;136;102.4;94
963.9;1;36;270.6;95
965.6;2;139;517.9;95
965.9;4;7;234.5;95
968.3;1;41;279.6;95
969.7;6;68;13.0;95
969.9;2;151;547.9;95
970.3;7;90;13.4;95
970.9;0;135;99.7;95
971.3;4;8;9.4;95
974.5;6;67;24.0;95
974.5;2;155;610.1;95
976.4;0;126;34.9;95
976.7;7;89;42.3;95
977.5;4;2;23.0;95
977.6;1;40;299.2;95
978.9;2;156;664.7;95
981.1;6;68;11.4;95
982.0;0;125;47.4;96
983.9;2;154;676.0;97
988.3;1;41;20.0;100
988.4;6;69;50.3;100
989.6;3;2;12.1;100
990.6;2;156;11.7;100
993.0;1;36;29.1;101
993.3;6;65;60.2;101
995.2;2;155;20.7;102
998.5;1;37;39.5;102
998.5;6;63;70.7;102
1000.0;2;157;640.4;102
1003.1;1;42;48.9;103
1004.3;6;64;82.4;103
1004.5;2;158;663.5;104
1006.1;4;3;87.6;104
1009.8;2;161;675.1;105
1010.2;1;52;402.1;106
1011.3;0;147;81.2;106
1015.0;6;54;105.1;107
1016.1;2;158;11.6;107
1017.4;0;148;99.0;107
1020.7;2;157;20.7;107
1020.8;6;53;116.6;107
1021.7;1;65;28.4;107
1022.7;4;11;111.4;107
1024.0;3;3;17.9;107
1025.8;0;149;118.8;107
1026.9;2;162;674.9;107
1027.1;6;52;16.9;107
